NUM_POSTE,Years Present,Year Count,Total Rows,Missing_RR,Missing_TN,Missing_TX,Missing_TM
39013004,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",14,5113,0.0,0.0,0.0,0.005
39097003,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",14,5113,0.0,0.0,0.0,0.003
39130002,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",10,3441,0.0,0.0,0.0,0.001
39225002,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",14,5113,0.0,0.0,0.0,0.002
39362001,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",14,5113,0.0,0.0,0.0,0.002
39413001,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",14,5113,0.0,0.0,0.0,0.003
39485002,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",14,5113,0.0,0.0,0.0,0.009
39526003,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",14,5113,0.0,0.0,0.0,0.002
