NUM_POSTE,Years Present,Year Count,Total Rows,Missing_RR,Missing_TN,Missing_TX,Missing_TM
51015001,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",14,5113,0.0,0.002,0.002,0.006
51029004,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",13,4526,0.0,0.0,0.0,0.0
51079001,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",13,4519,0.0,0.0,0.0,0.004
51111001,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",13,4520,0.0,0.0,0.001,0.003
51136003,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",13,4526,0.0,0.0,0.0,0.0
51153001,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",14,5113,0.0,0.0,0.0,0.003
51237002,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",14,5102,0.001,0.0,0.001,0.005
51242001,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",14,5113,0.0,0.0,0.0,0.001
51262001,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",14,5113,0.0,0.0,0.0,0.002
51266002,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",13,4526,0.0,0.0,0.0,0.001
51338001,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",13,4526,0.0,0.0,0.0,0.006
51388003,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",14,5113,0.0,0.0,0.0,0.006
51449002,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",12,4256,0.0,0.0,0.0,0.0
51518001,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",13,4526,0.0,0.0,0.0,0.0
51595002,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",14,5113,0.0,0.0,0.0,0.001
51611001,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",13,4526,0.0,0.0,0.0,0.0
51612003,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",13,4511,0.0,0.0,0.0,0.0
