region_clean,cent_lat,cent_lon
nuits saint georges premier cru,47.13599999999998,4.950999999999996
givry clos marole,46.79055,4.74369
chambolle musigny les chabiots,46.955267,5.09097
les bertins,46.9511,4.7899
clos de lambrays,45.605031,3.692539
clos saint denis,47.168710000000004,4.812102
vacqueyras,44.12678000000003,4.780229999999998
chambolle musigny aux beaux bruns,47.17250000000001,4.969
puligny montrachet premier cru,44.860885,4.70357
graves de vayres,44.53118,0.19971000000000003
vougeot les petits vougeots,47.1671,4.9593
gres de montpellier,43.588229999999996,3.890120000000001
morey saint denis les chaffots,47.2048,4.9511
cotes de provence,43.01700000000003,1.7319999999999995
corbieres,43.08332999999997,2.683330000000003
volnay santenots,46.94087000000001,4.77358
chapelle chambertin,48.45847800000001,6.853677
charmes chambertin,47.16721299999997,4.777512000000001
volnay pitures dessus,46.9439,4.765
languedoc,43.600000000000094,3.88333
morey saint denis premier cru,47.205,4.950999999999997
volnay taille pieds,46.94623000000001,4.76551
gevrey chambertin 1er cru les corbeaux,47.244034,5.006001
costieres de nimes,43.75,4.4166700000000025
maranges,46.88139999999999,4.6610000000000005
pernand vergelesses premier cru,47.057599999999994,4.8464
savigny les beaune aux fourneaux,47.05395,4.82703
chambolle musigny les sentiers,47.1732,4.970399999999999
morey saint denis clos sorbe,47.1967,4.9504
cote de beaune,46.98,4.78
gevrey chambertin champeaux,47.237200000000016,4.965400000000001
bourgogne,47.05295000000002,4.3837399999999915
blagny premier cru,45.862059,5.855134
beaune clos du roi,47.025,4.8389
languedoc roussillon,43.599999999999945,3.3833300000000004
gevrey chambertin premier cru,47.2292,4.956000000000001
nuits saint georges aux bousselots,47.15485999999999,4.943640000000001
macon verze,46.3826,4.7527
marsannay,47.2871,4.9859
vosne romanee,47.09369999999995,4.571599999999997
beaune les chouacheux,47.01692,4.84067
cotes du rhone villages roaix,44.24912,4.74321
loire valley,47.5,0.75
auxey duresses premier cru,46.95735000000001,4.76283
madiran,43.58332999999998,-0.03333000000000002
cotes du rhone villages seguret,44.25,5.01667
aloxe corton,47.0546,4.8647
bordeaux superieur,44.83332999999996,-0.5666700000000001
santenay la comme,46.9178,4.7
beaune les bressandes,47.02100000000001,4.844
savigny les beaune aux serpentieres,47.05859999999999,4.8293
libournais,44.9123,-0.24029
beaune en genet,47.0263,4.8429
volnay clos de l audignac,46.943000000000005,4.7649
cotes de castillon,44.849999999999945,-0.033329999999999985
maury,42.783329999999985,2.6166699999999996
bourgueil,47.28333000000002,0.15000000000000016
aloxe corton les moutottes,47.0724,4.8692
aloxe corton les marechaudes,47.05587,4.86408
fixin les hervelets,47.2494,4.969
bourgogne cote d or,47.0,4.8
bourgogne hautes cotes de nuits,47.07012000000003,4.892339999999997
cotes de rhone villages,44.25,4.63333
gevrey chambertin champonnet,47.107818,5.060437
chambolle musigny les noirots,47.093154,4.959687
givry clos charle,46.7898,4.7431
vosne romanee aux raignots,47.0937,4.5716
corton les renardes,47.176651,4.765757
vosne romanee la croix rameau,47.0937,4.5716
morey saint denis les charrieres,47.1955,4.9485
southwest,44.0,1.0
corton les languettes,47.0721,4.8689
jura,46.73510000000001,5.6703
clos de vougeot,47.163900000000005,4.9508999999999945
bugey,46.22198,5.61732
gevrey chambertin en ergot,47.2284,4.9587
pezenas,43.466670000000015,3.416669999999999
gard,43.83333000000002,4.416669999999998
blaye,45.1258,-0.6635
mercurey clos du chateau de montaigu,46.8332,4.7382
morey saint denis les milandes,47.2038,4.9513
vin de pays doc,43.61193999999985,3.8772200000000017
chambolle musigny les fuees,47.066413000000004,4.748460000000001
beaune les epenotes,47.0156,4.837600000000001
les croix noires,46.953,4.777
cotes catalanes,42.625,2.5
les saussilles,46.9515,4.791
cotes du roussillon villages,42.683329999999906,2.6833300000000078
morey saint denis le village,47.204,4.9519
brouilly,46.099999999999966,4.650000000000004
nuits saint georges les damodes,47.153000000000006,4.942999999999999
volnay la gigotte,46.9423,4.7629
gevrey chambertin fonteny,47.22500000000001,4.970999999999999
