Winery,Wine,vintage,Rating,num_review,region,price
Château Greteau Medeville,Bordeaux Supérieur 2020,2020,3.5,249,bordeaux-superieur,6.9
Cellier des Demoiselles,Domaine des Vals Rouge 2024,2024,3.7,440,corbieres,6.94
Innowine,Cépage Libre Rouge 2023,2023,3.5,410,vin-de-pays-de-mediterranee,6.94
Château du Donjon,Le P'tit Coup Rouge 2022,2022,3.5,249,coteaux-de-peyriac,6.95
Oisly Thésée,Vallée des Rois Gamay Touraine 2023,2023,3.6,64,touraine,6.95
Domaine de La Bastide - Vincent & Stéphanie Boyer,Côtes-du-Rhône Rouge 2023,2023,3.7,1236,cotes-du-rhone,6.99
Domaine de la Perdrix,Pour ceux qui Rêvent le jour... Rouge 2024,2024,3.9,56,languedoc-roussillon,7.02
Domaine de Tara,Terre d'Ocres Rouge 2010,2010,3.5,44,cotes-du-ventoux,7.02
Gayda,Flying Solo Grenache - Syrah 2023,2023,3.5,46,languedoc-roussillon,7.15
Dom Brial,Les Camines Rouge 2022,2022,3.8,39,cotes-catalanes,7.15
Maison Marigny,Buddy Grenache 2021,2021,3.6,58,vin-de-pays-doc,7.2
Bruno Andreu,Aromatic Merlot 2023,2023,3.6,105,vin-de-pays-doc,7.2
Gayda,Flying Solo Grenache - Syrah 2022,2022,3.6,100,languedoc-roussillon,7.2
Château Morillon,Bordeaux Rouge 2019,2019,3.4,57,bordeaux,7.2
Leblanc - Domaine les Closserons,Andecavum Rúbéus 2020,2020,3.9,39,anjou,7.3
Les Vignerons du Sommiérois,Rouge Tauride 2023,2023,3.6,27,vin-de-pays-doc,7.3
Les Jamelles,Merlot 2023,2023,3.6,5040,vin-de-pays-doc,7.3
Dom Brial,Les Camines Rouge 2023,2023,3.6,417,cotes-catalanes,7.3
La Belle Angèle,Pinot Noir 2023,2023,3.4,25,vin-de-pays-vignobles-de-france,7.3
Chateau des Hospices,Nova Ona Rouge 2022,2022,3.7,131,languedoc-roussillon,7.3
Les Jamelles,Grenache Rouge 2023,2023,3.8,1179,vin-de-pays-doc,7.3
Chateau des Hospices,Nova Ona Rouge 2023,2023,3.7,131,languedoc-roussillon,7.3
Jeff Carrel,Le Fiston Terres du Midi 2021,2021,3.7,113,languedoc,7.3
Domaine de la Mordorée,Côtes-du-Rhône Rouge 2020,2020,3.6,48,cotes-du-rhone,7.34
Vinovalie,Sang Mêlé 2023,2023,4.1,3914,southwest,7.35
Les Goubert,Côtes-du-Rhône 2017,2017,3.5,184,cotes-du-rhone,7.38
EnvyFol,G.S.M 2022,2022,3.9,62,vin-de-pays-doc,7.4
Domaine Deshenrys,Marselan Edition Solo 2021,2021,3.5,35,languedoc,7.4
EnvyFol,Merlot 2022,2022,3.9,29,vin-de-pays-doc,7.4
Les Jamelles,Syrah 2022,2022,3.7,145,vin-de-pays-doc,7.4
EnvyFol,Syrah 2023,2023,3.7,343,vin-de-pays-doc,7.4
Gérard Bertrand,Naturae Syrah 2023,2023,3.6,36,vin-de-pays-doc,7.4
Colette & Léon,Beaujolais Villages Rouge 2016,2016,3.6,32,beaujolais-villages,7.43
Gérard Bertrand,Naturae Corbières 2021,2021,3.5,655,corbieres,7.45
Château Gravelines,Aliénor Côtes de Bordeaux Rouge 2019,2019,3.7,165,cotes-de-bordeaux,7.45
Gérard Bertrand,Naturae Corbières 2023,2023,3.5,655,corbieres,7.45
Pelvillain Vins,Côt Côt Côt Malbec 2023,2023,3.8,224,vin-de-pays-vignobles-de-france,7.5
Domaine la Colombette,Plume Syrah - Grenache 2023,2023,3.3,289,vin-de-pays-doc,7.5
Domaine Piquemal,Justin Côtes Catalanes 2023,2023,3.4,118,cotes-catalanes,7.5
Gérard Bertrand,Autrement Cabernet Sauvignon 2023,2023,3.4,1140,vin-de-pays-doc,7.5
Les Vignerons de Buzet,Tradition Rouge 2018,2018,3.5,143,buzet,7.5
Pierrick Harang,Le Bio Balthazar Minervois Syrah - Grenache Noir 2021,2021,3.7,70,minervois,7.5
Château Fongaban,Castillon - Côtes de Bordeaux 2020,2020,3.4,53,cotes-de-castillon,7.5
Jerome Quiot,Côtes du Rhône 2020,2020,3.5,361,cotes-du-rhone,7.5
Les Notables de Maucaillou,Le B de Maucaillou 2016,2016,3.7,1094,bordeaux-superieur,7.5
Domaine Félines Jourdan,Entrechats 2023,2023,3.7,212,languedoc,7.5
Domaine la Colombette,Puech d'Hortes Grenache - Syrah 2023,2023,3.9,27,pays-dherault,7.5
Marrenon,Classique Luberon 2021,2021,3.7,59,luberon,7.5
Château Adelaide,Cuvée Tradition Rouge 2022,2022,3.8,87,gaillac,7.5
Château Canet,Domaine Canet Syrah 2023,2023,3.8,89,vin-de-pays-doc,7.5
Les Jamelles,Rouge Osé 2023,2023,3.5,48,vin-de-pays-vignobles-de-france,7.5
Gérard Bertrand,Autrement Merlot 2023,2023,3.4,1244,vin-de-pays-doc,7.5
Domaine des Pasquiers,Vaucluse 2023,2023,3.5,413,vaucluse,7.5
Mas Laval,P'tite Soif Rouge 2024,2024,3.8,108,vin-de-pays-de-mediterranee,7.5
La Perrière,La Petite Perrière Pinot Noir 2024,2024,3.5,8872,vin-de-pays-vignobles-de-france,7.5
Domaine de Gournier,Demain...! Syrah 2022,2022,3.7,65,cevennes,7.5
Clos Bagatelle,Aux 4 Vents Rouge 2022,2022,3.5,122,pays-dherault,7.5
Yvon Mau,Best Bordeaux Quality 2015,2015,3.1,136,bordeaux,7.5
Famille Cros Pujol,Zangre Rouge 2022,2022,3.4,155,vin-de-pays-doc,7.5
Domaine Piquemal,Pierre Côtes Catalanes 2022,2022,3.8,27,cotes-catalanes,7.5
Domaine la Provenquière,Cuvée P Cabernet Franc - Merlot 2020,2020,3.7,218,vin-de-pays-doc,7.5
Château Reindent,Bordeaux Supérieur 2021,2021,3.7,201,bordeaux-superieur,7.5
Le Clos des Suds,Bagatelle 2016,2016,3.8,30,minervois,7.5
Château Adelaide,Cuvée Tradition Rouge 2016,2016,3.7,28,gaillac,7.5
M. Chapoutier,Marius Grenache - Syrah 2022,2022,3.7,774,vin-de-pays-doc,7.5
Les Jamelles,Mourvèdre 2022,2022,3.8,36,vin-de-pays-doc,7.5
Château Chillac,Bordeaux 2017,2017,3.3,45,bordeaux,7.56
Chateau Amanieu d'Albret,L'Initial Bordeaux 2022,2022,3.7,73,bordeaux,7.6
Domaine de l'Olivier,Côtes du Rhône 2023,2023,3.7,453,cotes-du-rhone,7.6
Les Vignerons du Sommiérois,Cuvée Prestige Rouge 2023,2023,3.6,51,vin-de-pays-doc,7.6
Château de Macard,Bordeaux Supérieur 2020,2020,3.9,74,bordeaux-superieur,7.6
Robert Perroud,Beaujolais Nouveau Nature 2024,2024,3.4,26,beaujolais-nouveau,7.6
Les Jamelles,Cabernet Sauvignon 2023,2023,3.6,5238,vin-de-pays-doc,7.6
Jeff Carrel,Vieille Mule Rouge 2022,2022,3.8,149,cotes-catalanes,7.63
Château Bouissel,Capcièra Syrah - Negrette 2020,2020,3.8,271,vin-de-pays-vignobles-de-france,7.65
Château de Sauvage,Cuvée Charlet Graves 2020,2020,4.0,66,graves,7.65
Gayda,Collection Grenache 2021,2021,3.6,84,vin-de-pays-doc,7.7
Les Jamelles,Carignan 2022,2022,3.8,935,vin-de-pays-doc,7.75
Les Jamelles,Cabernet Sauvignon 2022,2022,3.7,95,vin-de-pays-doc,7.75
Château l'Escadre,Tradition Blaye Côtes de Bordeaux 2018,2018,3.6,397,blaye-cotes-de-bordeaux,7.76
Château de Nouvelles,Mas La Borde Fitou 2024,2024,3.7,337,fitou,7.79
Château de Nouvelles,Marselan 2024,2024,3.6,58,fitou,7.79
Château Haut Rian,Côtes de Bordeaux Rouge 2020,2020,3.5,1286,cotes-de-bordeaux,7.8
Jeff Carrel,Les Darons Rouge 2023,2023,4.0,62,languedoc,7.8
M. Chapoutier,Marius Grenache - Syrah 2023,2023,3.6,87,vin-de-pays-doc,7.8
Réthoré Davy,Le Chapitre Pinot Noir 2024,2024,3.4,537,loire-valley,7.81
Terrasse du Moulinas,Rouge du Soir 2021,2021,3.3,331,vin-de-pays-doc,7.85
Paul Jaboulet Aîné,Côtes du Ventoux Les Traverses Rouge 2022,2022,3.8,62,cotes-du-ventoux,7.89
Château Mousseyron,Bordeaux 2022,2022,3.5,424,bordeaux,7.9
La Tour Penedesses,Les Crêtes Pézenas Coteaux du Languedoc 2021,2021,3.5,328,pezenas,7.9
Domaine Garnier,Valençay Prestige 2023,2023,3.7,53,valencay,7.9
Marie & Sylvie Courselle,Le Petit Courselle Les Copins Rouge 2023,2023,3.5,964,vin-de-pays-vignobles-de-france,7.9
Jeff Carrel,Le Fiston Terres du Midi 2023,2023,3.6,559,languedoc,7.9
Massillan,Sous le Charme 2021,2021,3.4,31,saint-guilhem-le-desert,7.9
Château Lapourcaud,Blaye - Côtes de Bordeaux 2021,2021,3.8,52,blaye-cotes-de-bordeaux,7.9
Villa des Anges,Red Blend Reserve 2021,2021,3.9,814,vin-de-pays-vignobles-de-france,7.9
Domaine Elodie Balme,Tinto 2024,2024,3.6,217,vin-de-pays-vignobles-de-france,7.9
Domaine de Rochemond,Côtes-du-Rhône Rouge 2023,2023,3.4,567,cotes-du-rhone,7.9
Robert Giraud,Bordeaux Château Haut-Fourat 2019,2019,3.4,1131,bordeaux,7.9
Deprade Jorda,Le Petit Innocent 2023,2023,3.7,53,languedoc-roussillon,7.9
Domaine du Clos Roca,L'Heureux Elu 2024,2024,3.8,27,pays-dherault,7.9
Gérard Bertrand,6ème Sens Rouge 2023,2023,3.6,34,vin-de-pays-doc,7.9
Château Perillas de Michaud,Médoc 2020,2020,3.8,536,medoc,7.9
Pierrick Harang,Le Petit Balthazar Merlot 2022,2022,3.4,35,vin-de-pays-doc,7.95
Château La Freynelle,Bordeaux (Merlot - Cabernet Sauvignon) 2018,2018,3.7,353,bordeaux,7.95
Les Jamelles,Pinot Noir 2023,2023,3.7,178,vin-de-pays-doc,7.95
Château Tertre de Viaud,Côtes de Bourg 2019,2019,3.9,258,cotes-de-bourg,7.95
Lionel Osmin & Cie,Sans Soufre Buzet 2022,2022,3.6,151,buzet,7.99
Badet Clement,Oraison Côtes du Rhône 2022,2022,3.5,715,cotes-du-rhone,8.0
Domaine Les Prunelles,Les Prunelles de Montblanc Classique Rouge 2022,2022,3.7,148,languedoc,8.0
Lavau,Côtes du Rhône 2022,2022,3.7,1576,cotes-du-rhone,8.0
Famille Jean-Pierre  Rambier - Domaine Haut-Lirou,S Syrah 2023,2023,3.7,109,vin-de-pays-doc,8.0
Domaine de Maouries,Les Jus Côtes de Gascogne 2024,2024,3.4,38,cotes-de-gascogne,8.0
Lionel Osmin & Cie,L'Homme Canon Tannat Sans Soufre 2018,2018,3.8,99,guyenne,8.0
Château de Sauvage,Cuvée Charlet Graves 2018,2018,4.0,66,graves,8.0
Mas Cremat,Tamarius 2022,2022,3.5,524,cotes-catalanes,8.0
Château Barreyre,Bordeaux 2020,2020,3.7,31,bordeaux,8.0
Domaine Solence,L'effet Papillon 2023,2023,3.7,281,vaucluse,8.0
Clos del Rey,Baby del Rey 2022,2022,3.7,85,cotes-du-roussillon-villages,8.0
Château Boisson,Bordeaux rouge 2019,2019,3.7,78,bordeaux,8.0
Château Sauvagnères,Rouge 2020,2020,3.7,48,buzet,8.0
